"","GEOID","County","State","indicator","value"
"1","01001","Autauga, AL","ALABAMA","Total Population",55380
"2","01003","Baldwin, AL","ALABAMA","Total Population",212830
"3","01005","Barbour, AL","ALABAMA","Total Population",25361
"4","01007","Bibb, AL","ALABAMA","Total Population",22493
"5","01009","Blount, AL","ALABAMA","Total Population",57681
"6","01011","Bullock, AL","ALABAMA","Total Population",10248
"7","01013","Butler, AL","ALABAMA","Total Population",19828
"8","01015","Calhoun, AL","ALABAMA","Total Population",114618
"9","01017","Chambers, AL","ALABAMA","Total Population",33660
"10","01019","Cherokee, AL","ALABAMA","Total Population",25903
"11","01021","Chilton, AL","ALABAMA","Total Population",44055
"12","01023","Choctaw, AL","ALABAMA","Total Population",12925
"13","01025","Clarke, AL","ALABAMA","Total Population",24128
"14","01027","Clay, AL","ALABAMA","Total Population",13337
"15","01029","Cleburne, AL","ALABAMA","Total Population",14916
"16","01031","Coffee, AL","ALABAMA","Total Population",51662
"17","01033","Colbert, AL","ALABAMA","Total Population",54771
"18","01035","Conecuh, AL","ALABAMA","Total Population",12394
"19","01037","Coosa, AL","ALABAMA","Total Population",10757
"20","01039","Covington, AL","ALABAMA","Total Population",37200
"21","01041","Crenshaw, AL","ALABAMA","Total Population",13844
"22","01043","Cullman, AL","ALABAMA","Total Population",82853
"23","01045","Dale, AL","ALABAMA","Total Population",49277
"24","01047","Dallas, AL","ALABAMA","Total Population",39149
"25","01049","DeKalb, AL","ALABAMA","Total Population",71310
"26","01051","Elmore, AL","ALABAMA","Total Population",81144
"27","01053","Escambia, AL","ALABAMA","Total Population",37057
"28","01055","Etowah, AL","ALABAMA","Total Population",102748
"29","01057","Fayette, AL","ALABAMA","Total Population",16494
"30","01059","Franklin, AL","ALABAMA","Total Population",31466
"31","01061","Geneva, AL","ALABAMA","Total Population",26417
"32","01063","Greene, AL","ALABAMA","Total Population",8324
"33","01065","Hale, AL","ALABAMA","Total Population",14809
"34","01067","Henry, AL","ALABAMA","Total Population",17133
"35","01069","Houston, AL","ALABAMA","Total Population",104702
"36","01071","Jackson, AL","ALABAMA","Total Population",51852
"37","01073","Jefferson, AL","ALABAMA","Total Population",659680
"38","01075","Lamar, AL","ALABAMA","Total Population",13885
"39","01077","Lauderdale, AL","ALABAMA","Total Population",92556
"40","01079","Lawrence, AL","ALABAMA","Total Population",33058
"41","01081","Lee, AL","ALABAMA","Total Population",161152
"42","01083","Limestone, AL","ALABAMA","Total Population",94727
"43","01085","Lowndes, AL","ALABAMA","Total Population",10079
"44","01087","Macon, AL","ALABAMA","Total Population",18708
"45","01089","Madison, AL","ALABAMA","Total Population",362276
"46","01091","Marengo, AL","ALABAMA","Total Population",19321
"47","01093","Marion, AL","ALABAMA","Total Population",29866
"48","01095","Marshall, AL","ALABAMA","Total Population",95643
"49","01097","Mobile, AL","ALABAMA","Total Population",414114
"50","01099","Monroe, AL","ALABAMA","Total Population",21270
"51","01101","Montgomery, AL","ALABAMA","Total Population",226941
"52","01103","Morgan, AL","ALABAMA","Total Population",119213
"53","01105","Perry, AL","ALABAMA","Total Population",9293
"54","01107","Pickens, AL","ALABAMA","Total Population",20243
"55","01109","Pike, AL","ALABAMA","Total Population",33333
"56","01111","Randolph, AL","ALABAMA","Total Population",22647
"57","01113","Russell, AL","ALABAMA","Total Population",57952
"58","01115","St.Clair, AL","ALABAMA","Total Population",87989
"59","01117","Shelby, AL","ALABAMA","Total Population",213432
"60","01119","Sumter, AL","ALABAMA","Total Population",12797
"61","01121","Talladega, AL","ALABAMA","Total Population",80387
"62","01123","Tallapoosa, AL","ALABAMA","Total Population",40541
"63","01125","Tuscaloosa, AL","ALABAMA","Total Population",207305
"64","01127","Walker, AL","ALABAMA","Total Population",64110
"65","01129","Washington, AL","ALABAMA","Total Population",16541
"66","01131","Wilcox, AL","ALABAMA","Total Population",10681
"67","01133","Winston, AL","ALABAMA","Total Population",23784
"68","05003","Ashley, AR","ARKANSAS","Total Population",20270
"69","05005","Baxter, AR","ARKANSAS","Total Population",41427
"70","05007","Benton, AR","ARKANSAS","Total Population",265759
"71","05009","Boone, AR","ARKANSAS","Total Population",37331
"72","05011","Bradley, AR","ARKANSAS","Total Population",10874
"73","05013","Calhoun, AR","ARKANSAS","Total Population",5192
"74","05015","Carroll, AR","ARKANSAS","Total Population",27965
"75","05017","Chicot, AR","ARKANSAS","Total Population",10615
"76","05019","Clark, AR","ARKANSAS","Total Population",22386
"77","05021","Clay, AR","ARKANSAS","Total Population",14889
"78","05023","Cleburne, AR","ARKANSAS","Total Population",25100
"79","05025","Cleveland, AR","ARKANSAS","Total Population",8128
"80","05027","Columbia, AR","ARKANSAS","Total Population",23776
"81","05029","Conway, AR","ARKANSAS","Total Population",20858
"82","05031","Craighead, AR","ARKANSAS","Total Population",107345
"83","05033","Crawford, AR","ARKANSAS","Total Population",62739
"84","05035","Crittenden, AR","ARKANSAS","Total Population",48672
"85","05037","Cross, AR","ARKANSAS","Total Population",16824
"86","05039","Dallas, AR","ARKANSAS","Total Population",7279
"87","05041","Desha, AR","ARKANSAS","Total Population",11709
"88","05043","Drew, AR","ARKANSAS","Total Population",18417
"89","05045","Faulkner, AR","ARKANSAS","Total Population",123624
