YEAR,SAMPLE,SERIAL,CBSERIAL,HHWT,CLUSTER,STATEFIP,COUNTYFIP,STRATA,GQ,PERNUM,PERWT,SEX,AGE,MARST,RACE,RACED,HISPAN,HISPAND,EDUC,EDUCD,EMPSTAT,EMPSTATD,CLASSWKR,CLASSWKRD,OCC,INDNAICS,INCTOT,INCWAGE,POVERTY,SEI,MIGPLAC1,MIGCOUNTY1,MIGTYPE1,PWSTATE2,PWCOUNTY,TRANWORK,TRANTIME
2018,201801,1054670,2018010000574,46,2018010546701,42,101,320942,4,1,46,2,24,6,8,813,0,0,10,101,1,10,2,22,5860,611M1,6900,6900,0,44,10,1,2,42,101,32,20
2018,201801,1054692,2018010001029,73,2018010546921,42,101,320442,4,1,73,2,20,6,1,100,0,0,7,71,1,10,2,22,735,5418,8600,10000,0,81,42,107,1,42,101,60,2
2018,201801,1054698,2018010001185,64,2018010546981,42,101,321042,4,1,64,2,18,6,8,801,0,0,6,63,1,10,2,22,4435,713Z,1000,1000,0,19,34,7,2,42,101,80,0
2018,201801,1054734,2018010002123,145,2018010547341,42,101,320642,4,1,145,1,26,6,2,200,0,0,6,63,1,10,2,22,4055,722Z,1900,1900,14,11,42,101,3,42,101,32,40
2018,201801,1054746,2018010002299,154,2018010547461,42,101,321042,4,1,154,2,20,6,2,200,0,0,7,71,1,10,2,22,3050,44611,9000,9000,0,82,36,103,4,42,0,60,2
2018,201801,1054875,2018010005023,62,2018010548751,42,101,321042,4,1,62,2,22,6,1,100,0,0,7,71,1,10,2,22,2205,611M1,1400,1400,0,84,42,107,1,42,101,10,15
2018,201801,1054984,2018010007348,46,2018010549841,42,101,320742,4,1,46,2,18,6,1,100,2,200,7,71,1,10,2,22,4110,722Z,10000,10000,0,16,42,17,4,42,17,10,40
2018,201801,1055256,2018010013027,66,2018010552561,42,101,320742,4,1,66,1,24,6,1,100,0,0,6,61,1,10,2,22,9645,112,23000,23000,176,44,42,101,3,42,101,60,60
2018,201801,1055257,2018010013080,72,2018010552571,42,101,320642,4,1,72,2,18,6,1,100,0,0,7,71,1,10,2,22,4130,722Z,1200,1200,0,11,42,29,4,42,101,36,20
2018,201801,1055429,2018010016748,80,2018010554291,42,101,321042,4,1,80,2,22,6,1,100,0,0,7,71,1,10,2,22,2205,611M1,1400,1400,0,84,500,0,5,42,101,60,2
2018,201801,1055438,2018010016936,71,2018010554381,42,101,320742,4,1,71,1,18,6,2,200,0,0,6,65,1,10,2,22,4110,722Z,7000,7000,0,16,34,5,4,42,101,32,30
2018,201801,1055553,2018010018966,113,2018010555531,42,101,321042,4,1,113,1,21,6,1,100,0,0,7,71,1,10,2,22,1006,5415,400,400,0,65,42,101,3,42,101,60,30
2018,201801,1055699,2018010021995,32,2018010556991,42,101,320442,4,1,32,1,24,6,1,100,0,0,6,61,1,10,2,22,9645,112,23000,23000,176,44,42,101,3,42,101,60,60
2018,201801,1055709,2018010022167,3,2018010557091,42,101,320342,4,1,3,1,24,6,1,100,0,0,6,61,1,10,2,22,9645,112,23000,23000,176,44,42,101,3,42,101,60,60
2018,201801,1055750,2018010023068,96,2018010557501,42,101,321042,4,1,96,2,21,6,2,200,0,0,7,71,1,10,2,22,5740,611M1,2000,2000,0,61,42,101,3,42,101,80,0
2018,201801,1055763,2018010023446,20,2018010557631,42,101,320342,4,1,20,2,53,6,1,100,0,0,6,63,1,10,2,22,4965,447,1500,1500,11,47,42,101,3,42,101,32,30
2018,201801,1055850,2018010025233,25,2018010558501,42,101,320642,4,1,25,2,20,6,1,100,0,0,7,71,1,10,2,22,735,5418,8600,10000,0,81,42,107,1,42,101,60,2
2018,201801,1056075,2018010029909,79,2018010560751,42,101,321042,4,1,79,1,19,6,1,100,0,0,6,65,1,10,2,23,2205,611M1,200,200,0,84,51,107,4,42,101,60,5
2018,201801,1056157,2018010031336,26,2018010561571,42,101,320642,4,1,26,2,20,6,1,100,0,0,7,71,1,10,2,22,735,5418,8600,10000,0,81,42,101,3,42,91,10,15
2018,201801,1056238,2018010032983,54,2018010562381,42,101,321042,4,1,54,2,20,6,1,100,0,0,7,71,1,10,2,22,735,5418,8600,10000,0,81,42,101,3,42,91,10,15
