YEAR,SAMPLE,SERIAL,CBSERIAL,HHWT,CLUSTER,STATEFIP,COUNTYFIP,STRATA,GQ,PERNUM,PERWT,SEX,AGE,MARST,RACE,RACED,HISPAN,HISPAND,EDUC,EDUCD,EMPSTAT,EMPSTATD,CLASSWKR,CLASSWKRD,OCC,INDNAICS,INCTOT,INCWAGE,POVERTY,SEI,MIGPLAC1,MIGCOUNTY1,MIGTYPE1,PWSTATE2,PWCOUNTY,TRANWORK,TRANTIME
2005,200501,941266,5828,64,2005009412661,42,101,410142,1,2,73,1,25,1,1,100,0,0,7,71,1,10,2,22,5610,32221,21000,21000,183,22,42,45,4,34,7,10,15
2005,200501,941351,7250,181,2005009413511,42,101,410842,1,1,191,2,27,6,9,901,0,0,11,114,1,10,2,25,5000,92M2,49100,49000,496,68,51,550,4,42,101,32,35
2005,200501,941499,10747,129,2005009414991,42,101,410942,1,1,134,1,56,4,1,100,0,0,10,101,1,10,2,22,50,51111,93000,87000,501,72,34,21,2,42,101,60,20
2005,200501,941526,11342,136,2005009415261,42,101,410542,1,1,142,1,26,2,7,700,4,460,6,61,1,10,2,22,410,531,13780,11000,139,32,42,101,3,42,101,60,10
2005,200501,941808,17141,81,2005009418081,42,101,410642,1,1,84,2,23,6,1,100,0,0,10,101,1,10,2,23,2010,6241,10800,10800,109,64,42,101,3,42,101,10,5
2005,200501,941867,18378,88,2005009418671,42,101,410742,1,1,92,2,34,6,2,200,0,0,8,81,1,10,2,22,5700,337,29500,29500,190,61,42,101,3,42,101,32,90
2005,200501,942139,24717,222,2005009421391,42,101,410942,1,1,230,1,19,6,1,100,0,0,7,71,1,10,2,22,4110,722Z,25000,25000,253,16,42,101,3,42,91,10,40
2005,200501,942232,26837,96,2005009422321,42,101,410242,1,1,116,1,56,1,1,100,0,0,11,114,1,10,2,28,1060,6241,72150,72000,468,65,42,101,3,42,101,37,45
2005,200501,942233,26846,105,2005009422331,42,101,410742,1,1,108,2,24,6,1,100,0,0,10,101,1,10,2,22,1060,5411,32000,30000,317,65,42,101,3,42,101,32,15
2005,200501,942233,26846,105,2005009422331,42,101,410742,1,2,110,2,24,4,1,100,0,0,6,62,1,10,2,23,5850,813M,6000,6000,59,44,42,101,3,42,101,32,15
2005,200501,942470,31952,129,2005009424701,42,101,410142,1,3,93,2,25,6,8,811,0,0,10,101,1,10,2,22,2630,323,25000,25000,501,73,42,101,3,42,101,10,60
2005,200501,942633,35839,112,2005009426331,42,101,410642,1,4,121,2,24,6,1,100,0,0,10,101,1,10,2,22,8300,611M1,10000,10000,100,15,42,101,3,42,45,10,20
2005,200501,942791,39858,153,2005009427911,42,101,410342,1,1,161,1,50,3,1,100,0,0,6,62,1,10,2,22,6320,42393,58010,58000,501,24,42,101,3,42,101,10,20
2005,200501,942791,39858,153,2005009427911,42,101,410342,1,2,146,2,30,6,1,100,0,0,6,62,1,10,2,22,4810,524,61200,60000,463,66,42,101,3,42,101,10,45
2005,200501,942952,43408,323,2005009429521,42,101,410542,1,2,338,1,32,1,1,100,0,0,6,62,1,10,2,22,9130,4244,36000,36000,242,15,42,101,3,34,0,10,30
2005,200501,942952,43408,323,2005009429521,42,101,410542,1,4,336,1,34,3,1,100,0,0,6,62,1,10,2,22,7420,5171,30200,30200,303,49,42,101,3,42,91,10,50
2005,200501,942963,43622,112,2005009429631,42,101,410642,1,1,117,2,66,6,1,100,0,0,11,114,1,10,2,23,350,6231,21000,21000,225,46,42,101,3,42,101,10,25
2005,200501,942963,43622,112,2005009429631,42,101,410642,1,2,136,2,58,6,1,100,0,0,11,114,1,10,2,23,3130,6214,60000,60000,501,46,42,101,3,42,101,37,20
2005,200501,942963,43622,112,2005009429631,42,101,410642,1,3,147,2,35,6,1,100,0,0,11,114,1,10,2,23,2310,6111,6000,6000,60,72,24,510,3,42,101,10,10
